관리번호,설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,상세위치,관리기관명,관리기관전화번호,데이터기준일자
93,황학동,서울특별시,중구,서울특별시 중구 난계로17길 19,서울특별시 중구 황학동 1632,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
94,황학동,서울특별시,중구,서울특별시 중구 난계로13길 15,서울특별시 중구 황학동 976,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
95,황학동,서울특별시,중구,서울특별시 중구 난계로11길 29,서울특별시 중구 황학동 2527 외 3,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
96,황학동,서울특별시,중구,서울특별시 중구 퇴계로87길 24-9,서울특별시 중구 황학동 660,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
97,청구동,서울특별시,중구,서울특별시 중구 다산로12길 13,서울특별시 중구 신당동 347-335,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
98,다산동,서울특별시,중구,서울특별시 중구 동호로12길 29,서울특별시 중구 신당동 425-1,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
99,신당동,서울특별시,중구,서울특별시 중구 다산로29길 60-10,서울특별시 중구 신당동 236-505,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
100,신당동,서울특별시,중구,서울특별시 중구 다산로31길 61,서울특별시 중구 신당동 304-807,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
101,신당동,서울특별시,중구,서울특별시 중구 청구로22길 22,서울특별시 중구 신당동 304-610,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
102,신당동,서울특별시,중구,서울특별시 중구 다산로33다길 6-1,서울특별시 중구 신당동 304-80,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
103,신당동,서울특별시,중구,서울특별시 중구 다산로33라길 35,서울특별시 중구 신당동 236-138,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
104,다산동,서울특별시,중구,서울특별시 중구 동호로15길 107,서울특별시 중구 신당동 432-72,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
105,다산동,서울특별시,중구,서울특별시 중구 동호로15길 103,서울특별시 중구 신당동 432-73,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
106,다산동,서울특별시,중구,서울특별시 중구 동호로15길 93-30,서울특별시 중구 신당동 432-1314,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
107,다산동,서울특별시,중구,서울특별시 중구 동호로11나길 63,서울특별시 중구 신당동 432-456,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
108,다산동,서울특별시,중구,서울특별시 중구 동호로11나길 47,서울특별시 중구 신당동 432-462,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
109,다산동,서울특별시,중구,서울특별시 중구 동호로11라길 12,서울특별시 중구 신당동 432-1151,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
110,다산동,서울특별시,중구,서울특별시 중구 동호로11아길 8,서울특별시 중구 신당동 432-1941,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
111,다산동,서울특별시,중구,서울특별시 중구 동호로11길 101,서울특별시 중구 신당동 353-26,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
112,다산동,서울특별시,중구,서울특별시 중구 다산로 67-5,서울특별시 중구 신당동 432-710,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
113,다산동,서울특별시,중구,서울특별시 중구 동호로17길 267-14,서울특별시 중구 신당동 432-1620,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
114,다산동,서울특별시,중구,서울특별시 중구 동호로17길 252-21,서울특별시 중구 신당동 432-1636,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
115,다산동,서울특별시,중구,서울특별시 중구 동호로17길 252-25,서울특별시 중구 신당동 432-2162,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
116,다산동,서울특별시,중구,서울특별시 중구 동호로17길 223,서울특별시 중구 신당동 432-2211,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
117,다산동,서울특별시,중구,서울특별시 중구 동호로11마길 10,서울특별시 중구 신당동 432-478,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
118,다산동,서울특별시,중구,서울특별시 중구 동호로15가길 38,서울특별시 중구 신당동 826-17,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
119,다산동,서울특별시,중구,서울특별시 중구 동호로15길 82,서울특별시 중구 신당동 432-810,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
120,다산동,서울특별시,중구,서울특별시 중구 동호로15길 63,서울특별시 중구 신당동 432-84,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
121,다산동,서울특별시,중구,서울특별시 중구 동호로11마길 52,서울특별시 중구 신당동 432-1976,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
122,다산동,서울특별시,중구,서울특별시 중구 동호로14길 50,서울특별시 중구 신당동 417-8,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
123,다산동,서울특별시,중구,서울특별시 중구 다산로19길 50,서울특별시 중구 신당동 377-55,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
124,다산동,서울특별시,중구,서울특별시 중구 청구로21길 31,서울특별시 중구 신당동 404-16,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
125,다산동,서울특별시,중구,서울특별시 중구 동호로15길 49,서울특별시 중구 신당동 432-2,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
126,다산동,서울특별시,중구,서울특별시 중구 동호로15길 21-44,서울특별시 중구 신당동 357-5,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
127,다산동,서울특별시,중구,서울특별시 중구 동호로12길 29,서울특별시 중구 신당동 381-27,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
128,약수동,서울특별시,중구,서울특별시 중구 동호로8길 17,서울특별시 중구 신당동 349-194,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
129,약수동,서울특별시,중구,서울특별시 중구 동호로8가길 21,서울특별시 중구 신당동 349-136,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
130,약수동,서울특별시,중구,서울특별시 중구 동호로8길 71,서울특별시 중구 신당동 346-470,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
131,약수동,서울특별시,중구,서울특별시 중구 동호로8라길 20,서울특별시 중구 신당동 346-566,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
132,약수동,서울특별시,중구,서울특별시 중구 다산로6길 3,서울특별시 중구 신당동 366-22,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
133,청구동,서울특별시,중구,서울특별시 중구 다산로24길 8,서울특별시 중구 신당동 340-61,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
134,청구동,서울특별시,중구,서울특별시 중구 동호로10길 46,서울특별시 중구 신당동 340-31,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
135,청구동,서울특별시,중구,서울특별시 중구 다산로16길 45,서울특별시 중구 신당동 346-326,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
136,청구동,서울특별시,중구,서울특별시 중구 청구로1길 92,서울특별시 중구 신당동 344-6,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
137,청구동,서울특별시,중구,서울특별시 중구 청구로3길 5,서울특별시 중구 신당동 314-37,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
138,청구동,서울특별시,중구,서울특별시 중구 다산로24가길 6,서울특별시 중구 신당동 333-292,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
139,청구동,서울특별시,중구,서울특별시 중구 청구로1길 39,서울특별시 중구 신당동 841,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
140,청구동,서울특별시,중구,서울특별시 중구 청구로3가길 13,서울특별시 중구 신당동 325-1,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
141,황학동,서울특별시,중구,서울특별시 중구 난계로17길 60-13,서울특별시 중구 황학동 2025,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
142,신당5동,서울특별시,중구,서울특별시 중구 퇴계로88길 24-5,서울특별시 중구 신당동 142-13,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
143,신당5동,서울특별시,중구,서울특별시 중구 퇴계로78길 6,서울특별시 중구 신당동 100-7,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
144,신당5동,서울특별시,중구,서울특별시 중구 퇴계로78길 17,서울특별시 중구 신당동 112-10,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
145,동화동,서울특별시,중구,서울특별시 중구 다산로42다길 62,서울특별시 중구 신당동 282-39,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
146,동화동,서울특별시,중구,서울특별시 중구 다산로36나길 14-8,서울특별시 중구 신당동 55-51,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
147,신당동,서울특별시,중구,서울특별시 중구 퇴계로73가길 10,서울특별시 중구 신당동 251-71,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
148,신당동,서울특별시,중구,서울특별시 중구 퇴계로73가길 11-6,서울특별시 중구 신당동 251-121,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
149,광희동,서울특별시,중구,서울특별시 중구 퇴계로63길 14,서울특별시 중구 을지로7가 90,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
150,광희동,서울특별시,중구,서울특별시 중구 퇴계로 336-17,서울특별시 중구 광희동2가 202-1,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
151,신당동,서울특별시,중구,서울특별시 중구 청구로 125,서울특별시 중구 신당동 393-24,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
152,신당동,서울특별시,중구,서울특별시 중구 퇴계로 354,서울특별시 중구 신당동 226-3,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
153,회현동,서울특별시,중구,서울특별시 중구 퇴계로6가길 22,서울특별시 중구 남창동 205-95,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
154,회현동,서울특별시,중구,서울특별시 중구 퇴계로6길 47,서울특별시 중구 회현동1가 100-45,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
155,회현동,서울특별시,중구,서울특별시 중구 퇴계로8길 64,서울특별시 중구 회현동1가 100-60,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
156,회현동,서울특별시,중구,서울특별시 중구 퇴계로8길 46-9,서울특별시 중구 회현동1가 153-2,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
157,회현동,서울특별시,중구,서울특별시 중구 퇴계로12가길 12,서울특별시 중구 회현동1가 100-45,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
158,회현동,서울특별시,중구,서울특별시 중구 퇴계로4길 52-5,서울특별시 중구 회현동1가 82-8,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
159,회현동,서울특별시,중구,서울특별시 중구 소공로3길 20,서울특별시 중구 회현동1가 143-4,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
160,약수동,서울특별시,중구,서울특별시 중구 동호로7길 45,서울특별시 중구 신당동 372-434,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
161,약수동,서울특별시,중구,서울특별시 중구 다산로6길 7-13,서울특별시 중구 신당동 366-70,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
162,다산동,서울특별시,중구,서울특별시 중구 동호로17길 256-4,서울특별시 중구 신당동 432-1632,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
163,다산동,서울특별시,중구,서울특별시 중구 동호로17길 257-10,서울특별시 중구 신당동 432-1694,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
164,신당동,서울특별시,중구,서울특별시 중구 동호로17길 193-22,서울특별시 중구 신당동 432-569,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
165,신당동,서울특별시,중구,서울특별시 중구 청구로22길 2,서울특별시 중구 신당동 304-258,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
166,다산동,서울특별시,중구,서울특별시 중구 동호로11차길 18,서울특별시 중구 신당동 432-1882,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
167,약수동,서울특별시,중구,서울특별시 중구 동호로8다길 27,서울특별시 중구 신당동 349-135,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
168,약수동,서울특별시,중구,서울특별시 중구 동호로8다길 22,서울특별시 중구 신당동 349-234,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
169,약수동,서울특별시,중구,서울특별시 중구 동호로8길 50,서울특별시 중구 신당동 349-228,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
170,약수동,서울특별시,중구,서울특별시 중구 동호로8가길 48,서울특별시 중구 신당동 346-427,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
171,약수동,서울특별시,중구,서울특별시 중구 동호로8가길 27,서울특별시 중구 신당동 349-135,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
172,약수동,서울특별시,중구,서울특별시 중구 다산로22길 61,서울특별시 중구 신당동 333-297,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
173,청구동,서울특별시,중구,서울특별시 중구 청구로1길 10,서울특별시 중구 신당동 289-155,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
174,청구동,서울특별시,중구,서울특별시 중구 청구로1길 30,서울특별시 중구 신당동 326-22,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
175,청구동,서울특별시,중구,서울특별시 중구 다산로16길 26,서울특별시 중구 신당동 340-25,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
176,청구동,서울특별시,중구,서울특별시 중구 다산로14길 43-11,서울특별시 중구 신당동 346-655,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
177,청구동,서울특별시,중구,서울특별시 중구 청구로3길 15-1,서울특별시 중구 신당동 321-33,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
178,신당5동,서울특별시,중구,서울특별시 중구 퇴계로88나길 12,서울특별시 중구 신당동 67-83,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
179,신당5동,서울특별시,중구,서울특별시 중구 퇴계로90길 85,서울특별시 중구 신당동 80-127,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
180,신당5동,서울특별시,중구,서울특별시 중구 퇴계로88가길 52-16,서울특별시 중구 신당동 160-22,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
181,신당5동,서울특별시,중구,서울특별시 중구 퇴계로88가길 59,서울특별시 중구 신당동 163-14,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
182,신당5동,서울특별시,중구,서울특별시 중구 퇴계로88나길 30,서울특별시 중구 신당동 67-129,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
183,동화동,서울특별시,중구,서울특별시 중구 다산로38길 5,서울특별시 중구 신당동102-7,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
184,청구동,서울특별시,중구,서울특별시 중구 다산로24길 91,서울특별시 중구 신당동 333-179,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
