연번,동,위치,위도,경도
1,"월계1동,3동",월계동 37-11,37.6162112,127.065991
2,"월계1동,3동",월계동 21-6,37.6170034,127.0658265
3,"월계1동,3동",월계동 66-65,37.6166417,127.0645786
4,"월계1동,3동",월계동 68-81,37.6166621,127.0637268
5,"월계1동,3동",월계동 68-47,37.6160371,127.0621997
6,"월계1동,3동",월계동 68-14,37.6159151,127.0616866
7,"월계1동,3동",월계동 475-4,37.6167806,127.0599071
8,"월계1동,3동",월계동 438-1,37.6174451,127.0605028
9,"월계1동,3동",월계동 445-10,37.6181794,127.0592615
10,"월계1동,3동",월계동 447-8,37.6183937,127.0591504
11,"월계1동,3동",월계동 447-2,37.6184978,127.0590334
12,"월계1동,3동",월계동 472-26,37.6178333,127.0581386
13,"월계1동,3동",월계동 472-15,37.6177855,127.0577517
14,"월계1동,3동",월계동 496-32,37.6192735,127.057377
15,"월계1동,3동",월계동 496-21,37.6188343,127.0568399
16,"월계1동,3동",월계동 534-203,37.6231227,127.0530631
17,"월계1동,3동",월계동 534-99,37.6232123,127.0541057
18,"월계1동,3동",월계동 534-122,37.6230782,127.0529408
19,"월계1동,3동",월계동 534-146,37.6232641,127.0522426
20,월계2동,월계동 911-12,37.632228,127.0430578
21,월계2동,월계동 907-15,37.6320823,127.0433272
22,월계2동,월계동 855-2,37.6285195,127.0466628
23,월계2동,월계동 285-5,37.6300606,127.0578342
24,월계2동,월계동 277-20,37.6312069,127.0574761
25,월계2동,월계동 655-27,37.6319779,127.0572604
26,월계2동,월계동 272-67,37.6322514,127.058073
27,월계2동,월계동 272-75,37.6328601,127.0585897
28,월계2동,월계동 272-37,37.6332418,127.0585967
29,월계2동,월계동 271-19,37.6337594,127.0586009
30,월계2동,월계동 271-3,37.6341802,127.0585576
31,월계2동,월계동 271-9,37.6330373,127.0577943
32,월계2동,월계동 645-14,37.6317574,127.0568675
33,월계2동,월계동 645-21,37.6315092,127.0567413
34,월계2동,월계동 633-14,37.630451,127.0562927
35,월계2동,월계동 633-61,37.6300382,127.0561048
36,월계2동,월계동 633-90,37.6294649,127.0566475
37,공릉1동,공릉동 645-20,37.6198232,127.0798851
38,공릉1동,공릉동 645-15,37.6200067,127.0795123
39,공릉1동,공릉동 645-2,37.6201735,127.0791769
40,공릉1동,공릉동 645-22,37.6199047,127.0791358
41,공릉1동,공릉동 645-10,37.6197197,127.0795985
42,공릉1동,공릉동 684-20,37.6171717,127.0734002
43,공릉1동,공릉동 609-7,37.6183194,127.0727252
44,공릉1동,공릉동 101-2,37.6220895,127.0898304
45,공릉1동,공릉동 604-1,37.6204636,127.0722351
46,공릉1동,공릉동 604-2,37.62048,127.072355
47,공릉1동,공릉동 597-10,37.6201558,127.074109
48,공릉1동,공릉동 598-2,37.6207006,127.0733632
49,공릉1동,공릉동 598-31,37.6207143,127.0735957
50,공릉1동,공릉동 591-11,37.6209164,127.0768478
51,공릉1동,공릉동 591-20,37.6204007,127.0770158
52,공릉1동,공릉동 591-8,37.6203512,127.0767628
53,공릉1동,공릉동 591-3,37.6213976,127.0767556
54,공릉1동,공릉동 593-10,37.6206677,127.0758544
55,공릉1동,공릉동 593-13,37.6205195,127.0757855
56,공릉1동,공릉동 593-24,37.620188,127.0760405
57,공릉1동,공릉동 581-2,37.6214438,127.0754981
58,공릉1동,공릉동 587-6,37.6222136,127.0776824
59,공릉1동,공릉동 587-12,37.6221548,127.0775132
60,공릉1동,공릉동 566-1,37.6229814,127.0751111
61,공릉1동,공릉동 567-10,37.6228173,127.0744513
62,공릉1동,공릉동 569-21,37.622058,127.0728177
63,공릉1동,공릉동 571-5,37.6222603,127.0720963
64,공릉1동,공릉동 517-5,37.6237555,127.0755392
65,공릉1동,공릉동 517-21,37.6236829,127.074816
66,공릉1동,공릉동 506-31,37.6252272,127.0772265
67,공릉1동,공릉동 506-12,37.6252286,127.076901
68,공릉1동,공릉동 506-1,37.6252974,127.0767363
69,공릉1동,공릉동 513-55,37.6243273,127.0752097
70,공릉1동,공릉동 513-63,37.6242711,127.0747121
71,공릉1동,공릉동 499-28,37.6246687,127.0742978
72,공릉1동,공릉동 393-7,37.6257268,127.0746383
73,공릉1동,공릉동 494-4,37.6238214,127.0729596
74,공릉2동,공릉동 422-2,37.6273329,127.0794324
75,공릉2동,공릉동 422-30,37.6275241,127.0804631
76,공릉2동,공릉동 441-123,37.6266258,127.0780309
77,공릉2동,공릉동 441-134,37.6265305,127.0780853
78,공릉2동,공릉동 441-157,37.6277156,127.0763269
79,공릉2동,공릉동 504-17,37.6259941,127.0768442
80,공릉2동,공릉동 408-54,37.6257779,127.0778658
81,공릉2동,공릉동 408-65,37.6254371,127.0775797
82,공릉2동,공릉동 408-83,37.6254979,127.0783413
83,공릉2동,공릉동 408-117,37.625654,127.079052
84,공릉2동,공릉동 244-8,37.6262214,127.0818922
85,공릉2동,공릉동 244-31,37.6256424,127.0813896
86,공릉2동,공릉동 410-7,37.6247622,127.0784105
87,공릉2동,공릉동 410-68,37.6251623,127.0779352
88,공릉2동,공릉동 410-93,37.6257175,127.0784895
89,공릉2동,공릉동 350-91,37.6242246,127.0779615
90,공릉2동,공릉동 349-8,37.6238552,127.0783329
91,공릉2동,공릉동 349-9,37.6238544,127.078434
92,공릉2동,공릉동 412-20,37.6242553,127.0801071
93,공릉2동,공릉동 238-23,37.6234776,127.0804721
94,공릉2동,공릉동 102-31,37.6217598,127.0894235
95,공릉2동,공릉동 230-7,37.6247913,127.0822543
96,공릉2동,공릉동 233-1,37.6244827,127.0816809
97,공릉2동,공릉동 238-6,37.6236,127.0805087
98,공릉2동,공릉동 248-9,37.6226639,127.0819258
99,공릉2동,공릉동 351-45,37.6232151,127.0788346
100,공릉2동,공릉동 336-5,37.6222464,127.0790763
101,공릉2동,공릉동 336-11,37.6222441,127.0791202
102,공릉2동,공릉동 337-11,37.6219068,127.0787106
103,공릉2동,공릉동 269-11,37.6217079,127.0801844
104,공릉2동,공릉동 240-102,37.6217917,127.0814144
105,공릉2동,공릉동 240-207,37.6220041,127.0811638
106,공릉2동,공릉동 240-16,37.6217031,127.0823013
107,공릉2동,공릉동 240-143,37.6215845,127.0821182
108,하계동,하계동 산 31-14,37.6370025,127.0781629
109,하계동,하계동 353,37.6374624,127.0773196
110,하계동,하계동 72-1,37.6363178,127.0751935
111,하계동,하계동 166-2,37.6363121,127.0742828
112,하계동,하계동 170-8,37.6367989,127.0733255
113,하계동,하계동 170-8,37.6367989,127.0733255
114,하계동,하계동 170-4,37.6364835,127.0725312
115,하계동,하계동 153-3,37.634267,127.0720495
116,하계동,하계동 166-15,37.6357788,127.0717812
117,하계동,하계동 278-5,37.6351523,127.071054
118,하계동,하계동 115-22,37.634895,127.0700093
119,하계동,하계동 274,37.632483,127.0713097
120,하계동,하계동 275-4,37.6337766,127.0712256
121,하계동,하계동 135-48,37.6343637,127.0709841
122,하계동,하계동 78-1,37.634532,127.077285
123,하계동,하계동 70-20,37.6364738,127.0769418
124,하계동,하계동 65-47,37.6367834,127.0763818
125,하계동,하계동 78-8,37.6363628,127.0781738
126,하계동,하계동 78-1,37.634532,127.077285
127,하계동,하계동 67-46,37.6371143,127.0786517
128,중계본동,중계동 27-6,37.6437467,127.0851089
129,중계본동,중계동 37-8,37.645535,127.083789
130,중계본동,중계동 37-12,37.6454191,127.0838265
131,중계본동,중계동 43-18,37.6461828,127.0853977
132,중계본동,중계동 583-3,37.6466322,127.0811477
133,중계본동,중계동 583-3,37.6466322,127.0811477
134,중계본동,중계동 598,37.6473346,127.0833017
135,중계본동,중계동 78-1,37.6491527,127.08138
136,중계본동,중계동 93-10,37.6504862,127.0823615
137,중계본동,중계동 94-8,37.6509403,127.0818034
138,중계본동,중계동 593,37.6489562,127.0833064
139,중계본동,중계동 70-4,37.6494419,127.0830048
140,중계본동,중계동 70-8,37.6491506,127.0842027
141,중계본동,중계동 577,37.6486998,127.0849795
142,중계본동,중계동 75-12,37.6494764,127.0841053
143,중계본동,중계동 90-52,37.6499233,127.0847828
144,중계본동,중계동 75-12,37.6494764,127.0841053
145,중계본동,중계동 85-12,37.6495738,127.0811615
146,중계본동,중계동 90-28,37.6501342,127.0843065
147,중계본동,중계동 92-5,37.6509302,127.0839628
148,중계본동,중계동 104-4,37.6516626,127.0824786
149,중계4동,중계동 161-4,37.6594685,127.0769085
150,중계4동,중계동 130-1,37.6605758,127.0784421
151,중계4동,중계동 172-8,37.6600992,127.0781479
152,중계4동,중계동 134-2,37.660734,127.0759711
153,중계4동,중계동 133-57,37.6611453,127.0763919
154,상계1동,상계동 1019-71,37.6718159,127.0579151
155,상계1동,상계동 1022-4,37.672776,127.0568382
156,상계1동,상계동 1019-88,37.6730817,127.0568999
157,상계1동,상계동 1023-11,37.673285,127.0564803
158,상계1동,상계동 1008-34,37.6741154,127.056929
159,상계1동,상계동 1007-12,37.6744784,127.0582122
160,상계1동,상계동 1016-10,37.6735995,127.057963
161,상계1동,상계동 1017-15,37.6732584,127.0574166
162,상계1동,상계동 1119-47,37.6751824,127.0560338
163,상계1동,상계동 996-27,37.6743721,127.0591953
164,상계1동,상계동 1121-56,37.6746153,127.0591863
165,상계1동,상계동 1013-12,37.6741969,127.0602541
166,상계1동,상계동 1013-15,37.6740771,127.0609163
167,상계1동,상계동 1278,37.6733234,127.0606256
168,상계1동,상계동 995,37.6729914,127.0592201
169,상계1동,상계동 1116-66,37.6758928,127.0578679
170,상계1동,상계동 1117-21,37.6763925,127.0563238
171,상계1동,상계동 1117-16,37.6768647,127.0560667
172,상계1동,상계동 1118-35,37.675437,127.0546349
173,상계1동,상계동 1118-35,37.675437,127.0546349
174,상계1동,상계동 1104,37.6760202,127.0534833
175,상계1동,상계동 1107-133,37.676382,127.0524232
176,상계1동,상계동 1098-1,37.6767575,127.0519635
177,상계1동,상계동 1108-9,37.6770505,127.0523791
178,상계1동,상계동 1098-12,37.6774569,127.0518915
179,상계1동,상계동 1098-13,37.6770427,127.0518401
180,상계1동,상계동 1098-21,37.6766876,127.0517214
181,상계1동,상계동 1098-2,37.6761018,127.0517126
182,상계1동,상계동 1095-7,37.6755434,127.051733
183,상계1동,상계동 1097-4,37.675865,127.0512968
184,상계1동,상계동 1100-30,37.6759126,127.0517884
185,상계1동,상계동 1094-10,37.6744999,127.0516923
186,상계1동,상계동 1094-10,37.6744999,127.0516923
187,상계1동,상계동 1086-7,37.6740629,127.0507725
188,상계1동,상계동 1086-8,37.6739364,127.0502025
189,상계1동,상계동 1086-9,37.6735724,127.0502331
190,상계1동,상계동 1054-17,37.6728871,127.0518447
191,상계1동,상계동 1054-5,37.6733148,127.0520001
192,상계1동,상계동 1054-1,37.6736105,127.0523715
193,상계1동,상계동 1050-1,37.6739351,127.0524065
194,상계1동,상계동 1049-97,37.6737612,127.0534445
195,상계1동,상계동 1049-42,37.6740986,127.0536596
196,상계1동,상계동 1049-42,37.6740986,127.0536596
197,상계1동,상계동 1048-71,37.6743048,127.0529214
198,상계1동,상계동 1048-38,37.674768,127.052748
199,상계2동,상계동 194-23,37.6533937,127.0706343
200,상계2동,상계동 183-1,37.6540349,127.070095
201,상계2동,상계동 1309-2,37.6547875,127.0714393
202,상계2동,상계동 387-211,37.655645,127.0703708
203,상계2동,상계동 188-8,37.6547407,127.0700361
204,상계2동,상계동 320-27,37.655027,127.0696186
205,상계2동,상계동 320-14,37.6547849,127.0695053
206,상계2동,상계동 176-24,37.6571178,127.0708546
207,상계2동,상계동 180-10,37.6562311,127.0715494
208,상계2동,상계동 387-104,37.6573352,127.0704057
209,상계2동,상계동 387-104,37.6573352,127.0704057
210,상계2동,상계동 178-26,37.6560632,127.0691699
211,상계2동,상계동 320-27,37.655027,127.0696186
212,상계2동,상계동 1282,37.6549666,127.0683178
213,상계2동,상계동 322-36,37.6563495,127.0674177
214,상계2동,상계동 322-36,37.6563495,127.0674177
215,상계2동,상계동 393-22,37.6594562,127.0667
216,상계2동,상계동 407-10,37.6598785,127.0660523
217,상계2동,상계동 429-22,37.6611842,127.0662036
218,상계2동,상계동 581-47,37.6596395,127.0617955
219,상계2동,상계동 581-20,37.6595566,127.0624558
220,상계2동,상계동 690-3,37.6592282,127.0629483
221,상계2동,상계동 594-2,37.6568243,127.0630158
222,상계2동,상계동 364-20,37.6586094,127.0646163
223,상계3·4동,상계동 47-5,37.6726492,127.0841436
224,상계3·4동,상계동 1358-12,37.6744524,127.0840056
225,상계3·4동,상계동 1377-10,37.6727158,127.0815433
226,상계3·4동,상계동 산 154-34,37.6732701,127.0806453
227,상계3·4동,상계동 산 153-1,37.6830638,127.0839505
228,상계3·4동,상계동 71-138,37.6719611,127.0837153
229,상계3·4동,상계동 71-37,37.6722423,127.0842646
230,상계3·4동,상계동 71-33,37.6723147,127.0846519
231,상계3·4동,상계동 71-6,37.6724851,127.0849279
232,상계3·4동,상계동 49-14,37.6715286,127.0838373
233,상계3·4동,상계동 71-250,37.6708053,127.0833074
234,상계3·4동,상계동 68-2,37.6706427,127.082783
235,상계3·4동,상계동 71-237,37.6702469,127.0837089
236,상계3·4동,상계동 71-86,37.6713338,127.0856189
237,상계3·4동,상계동 71-261,37.6706867,127.0846592
238,상계3·4동,상계동 68-12,37.6698806,127.0831505
239,상계3·4동,상계동 68-12,37.6698806,127.0831505
240,상계3·4동,상계동 72-201,37.6693081,127.0829275
241,상계3·4동,상계동 73-1,37.6692296,127.0827549
242,상계3·4동,상계동 72-9,37.6689953,127.0820985
243,상계3·4동,상계동 72-16,37.6685398,127.082037
244,상계3·4동,상계동 72-40,37.6697444,127.0816136
245,상계3·4동,상계동 72-33,37.6704079,127.0822494
246,상계3·4동,상계동 112-28,37.6702196,127.0774174
247,상계3·4동,상계동 1388-16,37.6708002,127.0774881
248,상계3·4동,상계동 1389-36,37.6710678,127.0771041
249,상계3·4동,상계동 1387-5,37.6713545,127.0780563
250,상계3·4동,상계동 1381-3,37.6721355,127.0784461
251,상계3·4동,상계동 1384-1,37.671664,127.0788768
252,상계3·4동,상계동 1386-11,37.6711235,127.0785092
253,상계3·4동,상계동 1380-12,37.671684,127.0793455
254,상계3·4동,상계동 1380-3,37.6722839,127.0796415
255,상계3·4동,상계동 1375-4,37.672766,127.079796
256,상계3·4동,상계동 1376-15,37.6723263,127.0805982
257,상계3·4동,상계동 140-260,37.6671206,127.0767127
258,상계3·4동,상계동 65-39,37.6680144,127.077529
259,상계3·4동,상계동 101-137,37.6685487,127.0789363
260,상계3·4동,상계동 101-198,37.6679279,127.0789125
261,상계5동,상계동 456-118,37.6616472,127.0663863
262,상계5동,상계동 407-28,37.6612606,127.0666764
263,상계5동,상계동 446-5,37.6613837,127.0680559
264,상계5동,상계동 442-16,37.6619513,127.0681344
265,상계5동,상계동 167-18,37.6620781,127.0688186
266,상계5동,상계동 168-4,37.6622377,127.0691676
267,상계5동,상계동 389-73,37.6613146,127.0695366
268,상계5동,상계동 446-4,37.6621726,127.0677066
269,상계5동,상계동 429-21,37.6626122,127.0670013
270,상계5동,상계동 456-83,37.6638891,127.066784
271,상계5동,상계동 135-56,37.6654481,127.0672062
272,상계5동,상계동 463-5,37.6664246,127.0667041
273,상계5동,상계동 463-4,37.6667158,127.066901
274,상계5동,상계동 134-41,37.6668866,127.0694442
275,상계5동,상계동 134-32,37.6675585,127.0694523
276,상계5동,상계동 134-88,37.6674571,127.0697813
277,상계5동,상계동 135-102,37.6650846,127.0690597
278,상계5동,상계동 135-102,37.6650846,127.0690597
279,상계5동,상계동 135-75,37.6656483,127.0693416
280,상계5동,상계동 135-70,37.6646872,127.0689587
281,상계5동,상계동 450-8,37.6639787,127.068689
282,상계5동,상계동 149-26,37.6639728,127.0692305
283,상계5동,상계동 149-12,37.6639715,127.0697999
284,상계5동,상계동 152-2,37.6639343,127.0700186
285,상계5동,상계동 169-1,37.6633226,127.0703455
286,상계5동,상계동 169-562,37.6629187,127.0709049
287,상계5동,상계동 155-16,37.6641594,127.0716257
288,상계5동,상계동 137-5,37.6650791,127.070992
289,상계5동,상계동 138-40,37.6645677,127.0722906
290,상계5동,상계동 138-40,37.6645677,127.0722906
291,상계5동,상계동 140-123,37.6640857,127.0727369
292,상계5동,상계동 172,37.6630519,127.0745267
293,상계5동,상계동 172-6,37.6624745,127.0738444
294,상계5동,상계동 138-205,37.6663273,127.070975
295,상계5동,상계동 산 145-17,37.66642,127.0713145
296,상계5동,상계동 134-130,37.6673408,127.0707985
297,상계5동,상계동 134-130,37.6673408,127.0707985
